ID;Rodzic;Poziom;Typ;Nazwa;Środki europejskie
0079-0001;0079;b;FUNKCJA 16;SPRAWY OBYWATELSKIE;0
0079-0001-0001;0079-0001;c;Zadanie 16.7;Sprawowanie funkcji organu wyższego stopnia w indywidualnych sprawach z zakresu administracji publicznej należących do właściwości jednostek samorządu terytorialnego;0
0079-0001-0001-0001;0079-0001-0001;d;Podzadanie 16.7.1;Rozpatrywanie odwołań, zażaleń, żądań wznowienia postępowania, żądań stwierdzenia nieważności decyzji oraz wszczynanie z urzędu postępowań w trybach nadzwyczajnych;0
0079-0001-0001-0001-0001;0079-0001-0001-0001;e;Część 86/67;Samorządowe kolegia odwoławcze ogółem;0
0079-0001-0001-0002;0079-0001-0001;d;Podzadanie 16.7.2;Rozpatrywanie sporów cywilno-prawnych dotyczących aktualizacji opłat rocznych za użytkowanie wieczyste nieruchomości gruntowych;0
0079-0001-0001-0002-0001;0079-0001-0001-0002;e;Część 86/67;Samorządowe kolegia odwoławcze ogółem;0
0080;;a;Dysponent;Samorządowe Kolegium Odwoławcze w Rzeszowie;0
0080-0001;0080;b;FUNKCJA 16;SPRAWY OBYWATELSKIE;0
0080-0001-0001;0080-0001;c;Zadanie 16.7;Sprawowanie funkcji organu wyższego stopnia w indywidualnych sprawach z zakresu administracji publicznej należących do właściwości jednostek samorządu terytorialnego;0
0080-0001-0001-0001;0080-0001-0001;d;Podzadanie 16.7.1;Rozpatrywanie odwołań, zażaleń, żądań wznowienia postępowania, żądań stwierdzenia nieważności decyzji oraz wszczynanie z urzędu postępowań w trybach nadzwyczajnych;0
0080-0001-0001-0001-0001;0080-0001-0001-0001;e;Część 86/69;Samorządowe kolegia odwoławcze ogółem;0
0080-0001-0001-0002;0080-0001-0001;d;Podzadanie 16.7.2;Rozpatrywanie sporów cywilno-prawnych dotyczących aktualizacji opłat rocznych za użytkowanie wieczyste nieruchomości gruntowych;0
0080-0001-0001-0002-0001;0080-0001-0001-0002;e;Część 86/69;Samorządowe kolegia odwoławcze ogółem;0
0081;;a;Dysponent;Samorządowe Kolegium Odwoławcze w Siedlcach;0
0081-0001;0081;b;FUNKCJA 16;SPRAWY OBYWATELSKIE;0
0081-0001-0001;0081-0001;c;Zadanie 16.7;Sprawowanie funkcji organu wyższego stopnia w indywidualnych sprawach z zakresu administracji publicznej należących do właściwości jednostek samorządu terytorialnego;0
0081-0001-0001-0001;0081-0001-0001;d;Podzadanie 16.7.1;Rozpatrywanie odwołań, zażaleń, żądań wznowienia postępowania, żądań stwierdzenia nieważności decyzji oraz wszczynanie z urzędu postępowań w trybach nadzwyczajnych;0
0081-0001-0001-0001-0001;0081-0001-0001-0001;e;Część 86/71;Samorządowe kolegia odwoławcze ogółem;0
0081-0001-0001-0002;0081-0001-0001;d;Podzadanie 16.7.2;Rozpatrywanie sporów cywilno-prawnych dotyczących aktualizacji opłat rocznych za użytkowanie wieczyste nieruchomości gruntowych;0
0081-0001-0001-0002-0001;0081-0001-0001-0002;e;Część 86/71;Samorządowe kolegia odwoławcze ogółem;0
0082;;a;Dysponent;Samorządowe Kolegium Odwoławcze w Sieradzu;0
0082-0001;0082;b;FUNKCJA 16;SPRAWY OBYWATELSKIE;0
0082-0001-0001;0082-0001;c;Zadanie 16.7;Sprawowanie funkcji organu wyższego stopnia w indywidualnych sprawach z zakresu administracji publicznej należących do właściwości jednostek samorządu terytorialnego;0
0082-0001-0001-0001;0082-0001-0001;d;Podzadanie 16.7.1;Rozpatrywanie odwołań, zażaleń, żądań wznowienia postępowania, żądań stwierdzenia nieważności decyzji oraz wszczynanie z urzędu postępowań w trybach nadzwyczajnych;0
0082-0001-0001-0001-0001;0082-0001-0001-0001;e;Część 86/73;Samorządowe kolegia odwoławcze ogółem;0
0082-0001-0001-0002;0082-0001-0001;d;Podzadanie 16.7.2;Rozpatrywanie sporów cywilno-prawnych dotyczących aktualizacji opłat rocznych za użytkowanie wieczyste nieruchomości gruntowych;0
0082-0001-0001-0002-0001;0082-0001-0001-0002;e;Część 86/73;Samorządowe kolegia odwoławcze ogółem;0
0083;;a;Dysponent;Samorządowe Kolegium Odwoławcze w Skierniewicach;0
0083-0001;0083;b;FUNKCJA 16;SPRAWY OBYWATELSKIE;0
0083-0001-0001;0083-0001;c;Zadanie 16.7;Sprawowanie funkcji organu wyższego stopnia w indywidualnych sprawach z zakresu administracji publicznej należących do właściwości jednostek samorządu terytorialnego;0
0083-0001-0001-0001;0083-0001-0001;d;Podzadanie 16.7.1;Rozpatrywanie odwołań, zażaleń, żądań wznowienia postępowania, żądań stwierdzenia nieważności decyzji oraz wszczynanie z urzędu postępowań w trybach nadzwyczajnych;0
0083-0001-0001-0001-0001;0083-0001-0001-0001;e;Część 86/75;Samorządowe kolegia odwoławcze ogółem;0
0083-0001-0001-0002;0083-0001-0001;d;Podzadanie 16.7.2;Rozpatrywanie sporów cywilno-prawnych dotyczących aktualizacji opłat rocznych za użytkowanie wieczyste nieruchomości gruntowych;0
0083-0001-0001-0002-0001;0083-0001-0001-0002;e;Część 86/75;Samorządowe kolegia odwoławcze ogółem;0
0084;;a;Dysponent;Samorządowe Kolegium Odwoławcze w Słupsku;0
0084-0001;0084;b;FUNKCJA 16;SPRAWY OBYWATELSKIE;0
0084-0001-0001;0084-0001;c;Zadanie 16.7;Sprawowanie funkcji organu wyższego stopnia w indywidualnych sprawach z zakresu administracji publicznej należących do właściwości jednostek samorządu terytorialnego;0
0084-0001-0001-0001;0084-0001-0001;d;Podzadanie 16.7.1;Rozpatrywanie odwołań, zażaleń, żądań wznowienia postępowania, żądań stwierdzenia nieważności decyzji oraz wszczynanie z urzędu postępowań w trybach nadzwyczajnych;0
0084-0001-0001-0001-0001;0084-0001-0001-0001;e;Część 86/77;Samorządowe kolegia odwoławcze ogółem;0
0084-0001-0001-0002;0084-0001-0001;d;Podzadanie 16.7.2;Rozpatrywanie sporów cywilno-prawnych dotyczących aktualizacji opłat rocznych za użytkowanie wieczyste nieruchomości gruntowych;0
0084-0001-0001-0002-0001;0084-0001-0001-0002;e;Część 86/77;Samorządowe kolegia odwoławcze ogółem;0
0085;;a;Dysponent;Samorządowe Kolegium Odwoławcze w Suwałkach;0
0085-0001;0085;b;FUNKCJA 16;SPRAWY OBYWATELSKIE;0
0085-0001-0001;0085-0001;c;Zadanie 16.7;Sprawowanie funkcji organu wyższego stopnia w indywidualnych sprawach z zakresu administracji publicznej należących do właściwości jednostek samorządu terytorialnego;0
0085-0001-0001-0001;0085-0001-0001;d;Podzadanie 16.7.1;Rozpatrywanie odwołań, zażaleń, żądań wznowienia postępowania, żądań stwierdzenia nieważności decyzji oraz wszczynanie z urzędu postępowań w trybach nadzwyczajnych;0
0085-0001-0001-0001-0001;0085-0001-0001-0001;e;Część 86/79;Samorządowe kolegia odwoławcze ogółem;0
0085-0001-0001-0002;0085-0001-0001;d;Podzadanie 16.7.2;Rozpatrywanie sporów cywilno-prawnych dotyczących aktualizacji opłat rocznych za użytkowanie wieczyste nieruchomości gruntowych;0
0085-0001-0001-0002-0001;0085-0001-0001-0002;e;Część 86/79;Samorządowe kolegia odwoławcze ogółem;0
0086;;a;Dysponent;Samorządowe Kolegium Odwoławcze w Szczecinie;0
0086-0001;0086;b;FUNKCJA 16;SPRAWY OBYWATELSKIE;0
0086-0001-0001;0086-0001;c;Zadanie 16.7;Sprawowanie funkcji organu wyższego stopnia w indywidualnych sprawach z zakresu administracji publicznej należących do właściwości jednostek samorządu terytorialnego;0
0086-0001-0001-0001;0086-0001-0001;d;Podzadanie 16.7.1;Rozpatrywanie odwołań, zażaleń, żądań wznowienia postępowania, żądań stwierdzenia nieważności decyzji oraz wszczynanie z urzędu postępowań w trybach nadzwyczajnych;0
0086-0001-0001-0001-0001;0086-0001-0001-0001;e;Część 86/81;Samorządowe kolegia odwoławcze ogółem;0
0086-0001-0001-0002;0086-0001-0001;d;Podzadanie 16.7.2;Rozpatrywanie sporów cywilno-prawnych dotyczących aktualizacji opłat rocznych za użytkowanie wieczyste nieruchomości gruntowych;0
0086-0001-0001-0002-0001;0086-0001-0001-0002;e;Część 86/81;Samorządowe kolegia odwoławcze ogółem;0
0087;;a;Dysponent;Samorządowe Kolegium Odwoławcze w Tarnobrzegu;0
0087-0001;0087;b;FUNKCJA 16;SPRAWY OBYWATELSKIE;0
0087-0001-0001;0087-0001;c;Zadanie 16.7;Sprawowanie funkcji organu wyższego stopnia w indywidualnych sprawach z zakresu administracji publicznej należących do właściwości jednostek samorządu terytorialnego;0
0087-0001-0001-0001;0087-0001-0001;d;Podzadanie 16.7.1;Rozpatrywanie odwołań, zażaleń, żądań wznowienia postępowania, żądań stwierdzenia nieważności decyzji oraz wszczynanie z urzędu postępowań w trybach nadzwyczajnych;0
0087-0001-0001-0001-0001;0087-0001-0001-0001;e;Część 86/83;Samorządowe kolegia odwoławcze ogółem;0
0087-0001-0001-0002;0087-0001-0001;d;Podzadanie 16.7.2;Rozpatrywanie sporów cywilno-prawnych dotyczących aktualizacji opłat rocznych za użytkowanie wieczyste nieruchomości gruntowych;0
0087-0001-0001-0002-0001;0087-0001-0001-0002;e;Część 86/83;Samorządowe kolegia odwoławcze ogółem;0
0088;;a;Dysponent;Samorządowe Kolegium Odwoławcze w Tarnowie;0
0088-0001;0088;b;FUNKCJA 16;SPRAWY OBYWATELSKIE;0
0088-0001-0001;0088-0001;c;Zadanie 16.7;Sprawowanie funkcji organu wyższego stopnia w indywidualnych sprawach z zakresu administracji publicznej należących do właściwości jednostek samorządu terytorialnego;0
0088-0001-0001-0001;0088-0001-0001;d;Podzadanie 16.7.1;Rozpatrywanie odwołań, zażaleń, żądań wznowienia postępowania, żądań stwierdzenia nieważności decyzji oraz wszczynanie z urzędu postępowań w trybach nadzwyczajnych;0
0088-0001-0001-0001-0001;0088-0001-0001-0001;e;Część 86/85;Samorządowe kolegia odwoławcze ogółem;0
0088-0001-0001-0002;0088-0001-0001;d;Podzadanie 16.7.2;Rozpatrywanie sporów cywilno-prawnych dotyczących aktualizacji opłat rocznych za użytkowanie wieczyste nieruchomości gruntowych;0
0088-0001-0001-0002-0001;0088-0001-0001-0002;e;Część 86/85;Samorządowe kolegia odwoławcze ogółem;0
0089;;a;Dysponent;Samorządowe Kolegium Odwoławcze w Toruniu;0
0089-0001;0089;b;FUNKCJA 16;SPRAWY OBYWATELSKIE;0
0089-0001-0001;0089-0001;c;Zadanie 16.7;Sprawowanie funkcji organu wyższego stopnia w indywidualnych sprawach z zakresu administracji publicznej należących do właściwości jednostek samorządu terytorialnego;0
0089-0001-0001-0001;0089-0001-0001;d;Podzadanie 16.7.1;Rozpatrywanie odwołań, zażaleń, żądań wznowienia postępowania, żądań stwierdzenia nieważności decyzji oraz wszczynanie z urzędu postępowań w trybach nadzwyczajnych;0
0089-0001-0001-0001-0001;0089-0001-0001-0001;e;Część 86/87;Samorządowe kolegia odwoławcze ogółem;0
0089-0001-0001-0002;0089-0001-0001;d;Podzadanie 16.7.2;Rozpatrywanie sporów cywilno-prawnych dotyczących aktualizacji opłat rocznych za użytkowanie wieczyste nieruchomości gruntowych;0
0089-0001-0001-0002-0001;0089-0001-0001-0002;e;Część 86/87;Samorządowe kolegia odwoławcze ogółem;0
0090;;a;Dysponent;Samorządowe Kolegium Odwoławcze w Wałbrzychu;0
0090-0001;0090;b;FUNKCJA 16;SPRAWY OBYWATELSKIE;0
0090-0001-0001;0090-0001;c;Zadanie 16.7;Sprawowanie funkcji organu wyższego stopnia w indywidualnych sprawach z zakresu administracji publicznej należących do właściwości jednostek samorządu terytorialnego;0
0090-0001-0001-0001;0090-0001-0001;d;Podzadanie 16.7.1;Rozpatrywanie odwołań, zażaleń, żądań wznowienia postępowania, żądań stwierdzenia nieważności decyzji oraz wszczynanie z urzędu postępowań w trybach nadzwyczajnych;0
0090-0001-0001-0001-0001;0090-0001-0001-0001;e;Część 86/89;Samorządowe kolegia odwoławcze ogółem;0
0090-0001-0001-0002;0090-0001-0001;d;Podzadanie 16.7.2;Rozpatrywanie sporów cywilno-prawnych dotyczących aktualizacji opłat rocznych za użytkowanie wieczyste nieruchomości gruntowych;0
0090-0001-0001-0002-0001;0090-0001-0001-0002;e;Część 86/89;Samorządowe kolegia odwoławcze ogółem;0
0091;;a;Dysponent;Samorządowe Kolegium Odwoławcze w Warszawie;0
0091-0001;0091;b;FUNKCJA 16;SPRAWY OBYWATELSKIE;0
0091-0001-0001;0091-0001;c;Zadanie 16.7;Sprawowanie funkcji organu wyższego stopnia w indywidualnych sprawach z zakresu administracji publicznej należących do właściwości jednostek samorządu terytorialnego;0
0091-0001-0001-0001;0091-0001-0001;d;Podzadanie 16.7.1;Rozpatrywanie odwołań, zażaleń, żądań wznowienia postępowania, żądań stwierdzenia nieważności decyzji oraz wszczynanie z urzędu postępowań w trybach nadzwyczajnych;0
0091-0001-0001-0001-0001;0091-0001-0001-0001;e;Część 86/01;Samorządowe kolegia odwoławcze ogółem;0
0091-0001-0001-0002;0091-0001-0001;d;Podzadanie 16.7.2;Rozpatrywanie sporów cywilno-prawnych dotyczących aktualizacji opłat rocznych za użytkowanie wieczyste nieruchomości gruntowych;0
0091-0001-0001-0002-0001;0091-0001-0001-0002;e;Część 86/01;Samorządowe kolegia odwoławcze ogółem;0
0092;;a;Dysponent;Samorządowe Kolegium Odwoławcze w Zamościu;0
0092-0001;0092;b;FUNKCJA 16;SPRAWY OBYWATELSKIE;0
0092-0001-0001;0092-0001;c;Zadanie 16.7;Sprawowanie funkcji organu wyższego stopnia w indywidualnych sprawach z zakresu administracji publicznej należących do właściwości jednostek samorządu terytorialnego;0
0092-0001-0001-0001;0092-0001-0001;d;Podzadanie 16.7.1;Rozpatrywanie odwołań, zażaleń, żądań wznowienia postępowania, żądań stwierdzenia nieważności decyzji oraz wszczynanie z urzędu postępowań w trybach nadzwyczajnych;0
0092-0001-0001-0001-0001;0092-0001-0001-0001;e;Część 86/95;Samorządowe kolegia odwoławcze ogółem;0
0092-0001-0001-0002;0092-0001-0001;d;Podzadanie 16.7.2;Rozpatrywanie sporów cywilno-prawnych dotyczących aktualizacji opłat rocznych za użytkowanie wieczyste nieruchomości gruntowych;0
0092-0001-0001-0002-0001;0092-0001-0001-0002;e;Część 86/95;Samorządowe kolegia odwoławcze ogółem;0
0093;;a;Dysponent;Samorządowe Kolegium Odwoławcze w Zielonej Górze;0
0093-0001;0093;b;FUNKCJA 16;SPRAWY OBYWATELSKIE;0
0093-0001-0001;0093-0001;c;Zadanie 16.7;Sprawowanie funkcji organu wyższego stopnia w indywidualnych sprawach z zakresu administracji publicznej należących do właściwości jednostek samorządu terytorialnego;0
0093-0001-0001-0001;0093-0001-0001;d;Podzadanie 16.7.1;Rozpatrywanie odwołań, zażaleń, żądań wznowienia postępowania, żądań stwierdzenia nieważności decyzji oraz wszczynanie z urzędu postępowań w trybach nadzwyczajnych;0
0093-0001-0001-0001-0001;0093-0001-0001-0001;e;Część 86/97;Samorządowe kolegia odwoławcze ogółem;0
0093-0001-0001-0002;0093-0001-0001;d;Podzadanie 16.7.2;Rozpatrywanie sporów cywilno-prawnych dotyczących aktualizacji opłat rocznych za użytkowanie wieczyste nieruchomości gruntowych;0
0093-0001-0001-0002-0001;0093-0001-0001-0002;e;Część 86/97;Samorządowe kolegia odwoławcze ogółem;0
0094;;a;Dysponent;Sąd Najwyższy;0
0094-0001;0094;b;FUNKCJA 13;ZABEZPIECZENIE SPOŁECZNE I WSPIERANIE RODZINY;0
0094-0001-0001;0094-0001;c;Zadanie 13.3;Ubezpieczenia społeczne;0
0094-0001-0001-0001;0094-0001-0001;d;Podzadanie 13.3.4;Prewencja i rehabilitacja;0
0094-0001-0001-0001-0001;0094-0001-0001-0001;e;Część 04;SĄD NAJWYŻSZY;0
0094-0002;0094;b;FUNKCJA 18;SPRAWIEDLIWOŚĆ;0
0094-0002-0001;0094-0002;c;Zadanie 18.3;Sprawowanie wymiaru sprawiedliwości przez Sąd Najwyższy oraz działalność KRS;0
0094-0002-0001-0001;0094-0002-0001;d;Podzadanie 18.3.1;Działalność orzecznicza Sądu Najwyższego;0
0094-0002-0001-0001-0001;0094-0002-0001-0001;e;Część 04;SĄD NAJWYŻSZY;0
0094-0002-0001-0002;0094-0002-0001;d;Podzadanie 18.3.3;Działania na rzecz usprawnienia procesu sprawowania wymiaru sprawiedliwości;0
0094-0002-0001-0002-0001;0094-0002-0001-0002;e;Część 04;SĄD NAJWYŻSZY;0
0095;;a;Dysponent;Trybunał Konstutucyjny;0
0095-0001;0095;b;FUNKCJA 1;ZARZĄDZANIE PAŃSTWEM;0
0095-0001-0001;0095-0001;c;Zadanie 1.4;Obsługa Trybunału Konstytucyjnego w zakresie merytorycznym i organizacyjnym;0
0095-0001-0001-0001;0095-0001-0001;d;Podzadanie 1.4.1;Działalność orzecznicza Trybunału Konstytucyjnego;0
0095-0001-0001-0001-0001;0095-0001-0001-0001;e;Część 06;TRYBUNAŁ KONSTYTUCYJNY;0
0095-0002;0095;b;FUNKCJA 13;ZABEZPIECZENIE SPOŁECZNE I WSPIERANIE RODZINY;0
0095-0002-0001;0095-0002;c;Zadanie 13.3;Ubezpieczenia społeczne;0
0095-0002-0001-0001;0095-0002-0001;d;Podzadanie 13.3.4;Prewencja i rehabilitacja;0
0095-0002-0001-0001-0001;0095-0002-0001-0001;e;Część 06;TRYBUNAŁ KONSTYTUCYJNY;0
0096;;a;Dysponent;Urząd ds. Kombatantów i Osób Represjonowanych;0
0096-0001;0096;b;FUNKCJA 13;ZABEZPIECZENIE SPOŁECZNE I WSPIERANIE RODZINY;0
0096-0001-0001;0096-0001;c;Zadanie 13.4;Sprawy kombatantów i osób represjonowanych;0
0096-0001-0001-0001;0096-0001-0001;d;Podzadanie 13.4.1;Orzekanie o usprawnieniach kombatantów i innych osób uprawnionych oraz tworzenie zbiorów akt kombatanckich;0
0096-0001-0001-0001-0001;0096-0001-0001-0001;e;Część 54;URZĄD DO SPRAW KOMBATANTÓW  I OSÓB REPRESJONOWANYCH;0
0096-0001-0001-0002;0096-0001-0001;d;Podzadanie 13.4.2;Wsparcie socjalne dla kombatantów, ofiar represji i innych osób uprawnionych;0
0096-0001-0001-0002-0001;0096-0001-0001-0002;e;Część 54;URZĄD DO SPRAW KOMBATANTÓW  I OSÓB REPRESJONOWANYCH;0
0096-0001-0001-0003;0096-0001-0001;d;Podzadanie 13.4.3;Honorowanie kombatantów i ofiar represji oraz utrwalanie pamięci o nich;0
0096-0001-0001-0003-0001;0096-0001-0001-0003;e;Część 54;URZĄD DO SPRAW KOMBATANTÓW  I OSÓB REPRESJONOWANYCH;0
0097;;a;Dysponent;Urząd Komunikacji Elektronicznej;4436
0097-0001;0097;b;FUNKCJA 6;POLITYKA GOSPODARCZA KRAJU;4436
0097-0001-0001;0097-0001;c;Zadanie 6.3;Wspieranie i regulacja rynku telekomunikacyjnego i pocztowego;4436
0097-0001-0001-0001;0097-0001-0001;d;Podzadanie 6.3.1;Regulacja rynku usług telekomunikacyjnych i pocztowych;4436
0097-0001-0001-0001-0001;0097-0001-0001-0001;e;Część 76;URZĄD KOMUNIKACJI  ELEKTRONICZNEJ;4436
0097-0001-0002;0097-0001;c;Zadanie 6.12;Ochrona konkurencji i konsumentów;0
0097-0001-0002-0001;0097-0001-0002;d;Podzadanie 6.12.1;Ochrona konkurencji;0
0097-0001-0002-0001-0001;0097-0001-0002-0001;e;Część 76;URZĄD KOMUNIKACJI  ELEKTRONICZNEJ;0
0097-0001-0002-0002;0097-0001-0002;d;Podzadanie 6.12.5;System oceny zgodności;0
0097-0001-0002-0002-0001;0097-0001-0002-0002;e;Część 76;URZĄD KOMUNIKACJI  ELEKTRONICZNEJ;0
0097-0002;0097;b;FUNKCJA 11;BEZPIECZEŃSTWO ZEWNĘTRZNE I NIENARUSZALNOŚĆ GRANIC;0
0097-0002-0001;0097-0002;c;Zadanie 11.5;Gotowość struktur administracyjno-gospodarczych kraju do obrony państwa;0
0097-0002-0001-0001;0097-0002-0001;d;Podzadanie 11.5.2;Pozamilitarne przygotowania obronne;0
0097-0002-0001-0001-0001;0097-0002-0001-0001;e;Część 76;URZĄD KOMUNIKACJI  ELEKTRONICZNEJ;0
0097-0003;0097;b;FUNKCJA 22;PLANOWANIE STRATEGICZNE ORAZ OBSŁUGA ADMINISTRACYJNA I TECHNICZNA;0
0097-0003-0001;0097-0003;c;Zadanie 22.1;Koordynacja merytoryczna działalności, planowania strategicznego i operacyjnego;0
0097-0003-0001-0002;0097-0003-0001;d;Część 76;URZĄD KOMUNIKACJI  ELEKTRONICZNEJ;0
0097-0003-0002;0097-0003;c;Zadanie 22.2;Obsługa administracyjna;0
0097-0003-0002-0003;0097-0003-0002;d;Część 76;URZĄD KOMUNIKACJI  ELEKTRONICZNEJ;0
0098;;a;Dysponent;Urząd Ochrony Konkurencji i Konsumentów;0
0098-0001;0098;b;FUNKCJA 6;POLITYKA GOSPODARCZA KRAJU;0
0098-0001-0001;0098-0001;c;Zadanie 6.12;Ochrona konkurencji i konsumentów;0
0098-0001-0001-0001;0098-0001-0001;d;Podzadanie 6.12.1;Ochrona konkurencji;0
0098-0001-0001-0001-0001;0098-0001-0001-0001;e;Część 53;URZĄD OCHRONY KONKURENCJI  I KONSUMENTÓW;0
0098-0001-0001-0002;0098-0001-0001;d;Podzadanie 6.12.2;Ochrona konsumentów i nadzór rynku;0
0098-0001-0001-0002-0001;0098-0001-0001-0002;e;Część 53;URZĄD OCHRONY KONKURENCJI  I KONSUMENTÓW;0
0098-0001-0001-0003;0098-0001-0001;d;Podzadanie 6.12.3;Pomoc publiczna;0
0098-0001-0001-0003-0001;0098-0001-0001-0003;e;Część 53;URZĄD OCHRONY KONKURENCJI  I KONSUMENTÓW;0
0098-0002;0098;b;FUNKCJA 11;BEZPIECZEŃSTWO ZEWNĘTRZNE I NIENARUSZALNOŚĆ GRANIC;0
0098-0002-0001;0098-0002;c;Zadanie 11.5;Gotowość struktur administracyjno-gospodarczych kraju do obrony państwa;0
0098-0002-0001-0001;0098-0002-0001;d;Podzadanie 11.5.2;Pozamilitarne przygotowania obronne;0
0098-0002-0001-0001-0001;0098-0002-0001-0001;e;Część 53;URZĄD OCHRONY KONKURENCJI  I KONSUMENTÓW;0
0098-0003;0098;b;FUNKCJA 15;POLITYKA ZAGRANICZNA;0
0098-0003-0001;0098-0003;c;Zadanie 15.5;Kształtowanie i koordynacja polityki zagranicznej;0
0098-0003-0001-0001;0098-0003-0001;d;Podzadanie 15.5.4;Przygotowanie, sprawowanie i obsługa Prezydencji RP w Radzie Unii Europejskiej;0
0098-0003-0001-0001-0001;0098-0003-0001-0001;e;Część 53;URZĄD OCHRONY KONKURENCJI  I KONSUMENTÓW;0
0098-0004;0098;b;FUNKCJA 22;PLANOWANIE STRATEGICZNE ORAZ OBSŁUGA ADMINISTRACYJNA I TECHNICZNA;0
0098-0004-0001;0098-0004;c;Zadanie 22.1;Koordynacja merytoryczna działalności, planowania strategicznego i operacyjnego;0
0098-0004-0001-0002;0098-0004-0001;d;Część 53;URZĄD OCHRONY KONKURENCJI  I KONSUMENTÓW;0
0098-0004-0002;0098-0004;c;Zadanie 22.2;Obsługa administracyjna;0
0098-0004-0002-0003;0098-0004-0002;d;Część 53;URZĄD OCHRONY KONKURENCJI  I KONSUMENTÓW;0
0098-0004-0003;0098-0004;c;Zadanie 22.3;Obsługa techniczna;0
0098-0004-0003-0004;0098-0004-0003;d;Część 53;URZĄD OCHRONY KONKURENCJI  I KONSUMENTÓW;0
0099;;a;Dysponent;Urząd Patentowy RP;718
0099-0001;0099;b;FUNKCJA 6;POLITYKA GOSPODARCZA KRAJU;718
0099-0001-0001;0099-0001;c;Zadanie 6.6;Wykonywanie czynności z zakresu ochrony własności intelektualnej;718
0099-0001-0001-0001;0099-0001-0001;d;Podzadanie 6.6.1;Prawa wyłączne;0
0099-0001-0001-0001-0001;0099-0001-0001-0001;e;Część 61;URZĄD PATENTOWY RZECZYPOSPOLITEJ POLSKIEJ;0
0099-0001-0001-0002;0099-0001-0001;d;Podzadanie 6.6.2;Upowszechnianie i promowanie ochrony własności przemysłowej oraz współpraca międzynarodowa;718
0099-0001-0001-0002-0001;0099-0001-0001-0002;e;Część 61;URZĄD PATENTOWY RZECZYPOSPOLITEJ POLSKIEJ;718
0099-0002;0099;b;FUNKCJA 11;BEZPIECZEŃSTWO ZEWNĘTRZNE I NIENARUSZALNOŚĆ GRANIC;0
0099-0002-0001;0099-0002;c;Zadanie 11.5;Gotowość struktur administracyjno-gospodarczych kraju do obrony państwa;0
0099-0002-0001-0001;0099-0002-0001;d;Podzadanie 11.5.2;Pozamilitarne przygotowania obronne;0
0099-0002-0001-0001-0001;0099-0002-0001-0001;e;Część 61;URZĄD PATENTOWY RZECZYPOSPOLITEJ POLSKIEJ;0
0099-0003;0099;b;FUNKCJA 15;POLITYKA ZAGRANICZNA;0
0099-0003-0001;0099-0003;c;Zadanie 15.5;Kształtowanie i koordynacja polityki zagranicznej;0
0099-0003-0001-0001;0099-0003-0001;d;Podzadanie 15.5.4;Przygotowanie, sprawowanie i obsługa Prezydencji RP w Radzie Unii Europejskiej;0
0099-0003-0001-0001-0001;0099-0003-0001-0001;e;Część 61;URZĄD PATENTOWY RZECZYPOSPOLITEJ POLSKIEJ;0
0100;;a;Dysponent;Urząd Regulacji Energetyki;0
0100-0001;0100;b;FUNKCJA 6;POLITYKA GOSPODARCZA KRAJU;0
0100-0001-0001;0100-0001;c;Zadanie 6.2;Bezpieczeństwo gospodarcze państwa;0
0100-0001-0001-0001;0100-0001-0001;d;Podzadanie 6.2.1;Dywersyfikacja źródeł energii i tworzenie nowych zdolności przesyłowych i transportowych energii elektrycznej, gazu ziemnego i ropy naftowej oraz rozbudowa podziemnych magazynów gazu ziemnego;0
0100-0001-0001-0001-0001;0100-0001-0001-0001;e;Część 50;URZĄD REGULACJI ENERGETYKI;0
0100-0001-0001-0002;0100-0001-0001;d;Podzadanie 6.2.2;Tworzenie warunków dla funkcjonowania górnictwa węgla kamiennego;0
0100-0001-0001-0002-0001;0100-0001-0001-0002;e;Część 50;URZĄD REGULACJI ENERGETYKI;0
0100-0001-0002;0100-0001;c;Zadanie 6.8;Nadzór nad rynkiem energii;0
0100-0001-0002-0001;0100-0001-0002;d;Podzadanie 6.8.1;Regulacja działania przedsiębiorstw energetycznych w obszarach niekonkurencyjnych i reglamentowanych;0
0100-0001-0002-0001-0001;0100-0001-0002-0001;e;Część 50;URZĄD REGULACJI ENERGETYKI;0
0100-0001-0002-0002;0100-0001-0002;d;Podzadanie 6.8.2;Promowanie konkurencji na rynku energii;0
0100-0001-0002-0002-0001;0100-0001-0002-0002;e;Część 50;URZĄD REGULACJI ENERGETYKI;0
0100-0001-0002-0003;0100-0001-0002;d;Podzadanie 6.8.3;Realizacja polityki regulacyjnej z uwzględnieniem ochrony środowiska;0
0100-0001-0002-0003-0001;0100-0001-0002-0003;e;Część 50;URZĄD REGULACJI ENERGETYKI;0
0100-0001-0002-0004;0100-0001-0002;d;Podzadanie 6.8.4;Współpraca w integracji rynku europejskiego;0
0100-0001-0002-0004-0001;0100-0001-0002-0004;e;Część 50;URZĄD REGULACJI ENERGETYKI;0
0100-0001-0003;0100-0001;c;Zadanie 6.10;Statystyka publiczna;0
0100-0001-0003-0001;0100-0001-0003;d;Podzadanie 6.10.1;Organizowanie i prowadzenie badań statystycznych;0
0100-0001-0003-0001-0001;0100-0001-0003-0001;e;Część 50;URZĄD REGULACJI ENERGETYKI;0
0100-0002;0100;b;FUNKCJA 22;PLANOWANIE STRATEGICZNE ORAZ OBSŁUGA ADMINISTRACYJNA I TECHNICZNA;0
