"numer";"Funkcja / zadanie / podzadanie
";"Dysponent
";"Część
";"Cel
";"Miernik
";;;"Przewidywane wydatki w 2012 r. (w tys. zł)
";"nation";"eu"
"17.4.1";;"Ministerstwo Rozwoju
Regionalnego
";34;"Efektywne zarządzanie projektami finansowanymi ze środków Mechanizmu Finansowego EOG oraz Norweskiego Mechanizmu Finansowego
";"Wartość środków zakontraktowanych do alokacji w ramach Mechanizmów Finansowych
";"100%
";"100%
";793;793;0
"17.4.1";;"Ministerstwo Środowiska
";41;"Efektywne zarządzanie projektami finanswoanymi ze środków Mechanizmu Finansowego EOG oraz Norweskiego Mechanizmu Finansowego
";"Liczba ostatecznych beneficjentów którzy otrzymali wsparcie
";27;9;387;387;0
"17.4.1";;"Ministerstwo Spraw
Wewnętrznych i Administracji
";42;"Realizacja zadań w latach 2004-2009 w ramach EOG
oraz NMF
";"Liczba nadzorowanych (w trakcie realizacji) projektów w ramach EOG oraz NMF
";57;30;"2 274
";"2 274
";0
"17.4.1";;"Ministerstwo Spraw
Zagranicznych
";45;"Zgodne z przepisami wdraŜanie i monitorowanie projektów finansowanymi ze środków Mechanizmu Finansowego EOG oraz Norweskiego Mechanizmu Finansowego i efektywne zarządzanie nimi
";"Stopień wykorzystania alokacji w ramach
Mechanizmów Finansowych (priorytet 2.4 i 2.10)
";"58 %
";"88 %
";"1 546
";"1 546
";0
"17.4.1";;"Ministerstwo Zdrowia
";46;"Sprawna realizacja, rozliczanie  oraz monitorowanie projektów finansowanych ze środków Mechanizmu Finansowego EOG i Norweskiego Mechanizmu Finansowego
";"Stopień wykorzystania środków z FPT EOG i NMF na zadania związane z zarządzaniem i wdraŜaniem priorytetu 2.5
";"88%
";"100%
";636;636;0
"17.4.2";"17.4.2. Zarządzanie i wdraŜanie zadań w ramach Mechanizmu Finansowego EOG (2009-2014) oraz Norweskiego Mechanizmu Finansowego (2009-
2014)
";"Ministerstwo Kultury i
Dziedzictwa Narodowego
";24;"Sprawna realizacja projektów
";"Liczba ogłoszonych naborów
";0;3;"2 127
";"2 127
";0
"17.4.2";;"Ministerstwo Rozwoju
Regionalnego
";34;"Efektywne zarządzanie projektami finansowanymi ze środków Mechanizmu Finansowego EOG oraz Norweskiego Mechanizmu Finansowego
";"Wartość środków zakontraktowanych do alokacji w ramach Mechanizmów Finansowych
";"0%
";"20%
";"4 000
";"4 000
";0
"17.4.2";;"Ministerstwo Środowiska
";41;"Podnoszenie efektywności i wzmocnienie funkcjonowania administracji we zakresie wdraŜania MF EOG i NMF
";"Procent realizacji projektu FPT MF EOG i NMF w kolejnym roku realizacji
";0;16;"1 033
";"1 033
";0
"17.4.2";;"Ministerstwo Spraw
Wewnętrznych i Administracji
";42;"Realizacja zadań w latach 2009-2014 w ramach EOG
oraz NMF
";"Liczba nadzorowanych ( w trakcie realizacji)
proejktów w ramach EOD oraz NMF
";0;1;797;797;0
"17.4.2";;"Ministerstwo Pracy i Polityki
Społecznej
";44;"-
";"-
";"-
";"-
";0;0;0
"17.4.2";;"Ministerstwo Zdrowia
";46;"Sprawna realizacja, rozliczanie  oraz monitorowanie projektów finansowanych ze środków Mechanizmu Finansowego EOG i Norweskiego Mechanizmu Finansowego
";"Stopień wykorzystania środków z FPT EOG i NMF na zadania związane z zarządzaniem i wdraŜaniem programów
";;"100%
";"1 667
";"1 667
";0
"17.4.3";"17.4.3. Zarządzanie i wdraŜanie zadań w ramach Szwajcarsko-Polskiego Programu Współpracy (SPPW)
";"Ministerstwo Rozwoju
Regionalnego
";34;"Sprawna realizacja zadań w ramach SPPW
";"Wartość środków zakontraktowanych do alokacji w ramach SPPW
";"24,07%
";"100%
";441;441;0
"17.4.3";;"Ministerstwo Spraw
Wewnętrznych i Administracji
";42;"Realizacja zadań w ramach SPPW
";"Liczba nadzorowanych (w trakcie realizacji) projektów w ramach SPPW
";24;39;"91 046
";"2 382
";"88 664
"
"17.4.3";;"Ministerstwo Zdrowia
";46;"Efektywne wdraŜanie i monitorowanie projektów finansowanych ze środków SPPW
";"Stopień wykorzystania środków z FPT SPPW na wdraŜanie projektów
";"88,16%
";"100%
";389;389;0
"17.4.3";;"Wojewodowie
";85;"-
";"-
";"-
";"-
";"3 404
";260;"3 144
"
"17.4.4";"17.4.4. WdraŜanie zadań, projektów i grantów w ramach środków Mechanizmu Finansowego EOG oraz Norweskiego Mechnizmu Finansowego
";"Ministerstwo Rozwoju
Regionalnego
";34;"Realizacja celów określonych dla wdraŜanych grantów blokowych
";"Liczba finansowanych inicjatyw zgodnych z celami grantu blokowego
";675;64;"8 582
";"3 822
";"4 760
"
"17.4.5";"17.4.5. WdraŜanie zadań, projektów i grantów w ramach środków Szwajcarsko-Polskiego programu Wspólpracy (SPPW)
";"Ministerstwo Rozwoju
Regionalnego
";34;"Realizacja celów określonych dla wdraŜanych grantów blokowych  i projektów
";"Liczba podpisanych umów i inicjatyw finansowanych zgodnych z celami grantów blokowych  i projektów
";0;176;"68 818
";"3 481
";"65 337
"
"17.4.6";"17.4.6. Zarządzanie realizacją pozostałych programów finansowanych z udziałem bezzwrotnej pomocy zagranicznej
";"Ministerstwo Rozwoju
Regionalnego
";34;"Sprawna realizacja zadań w ramach programów
finansowanych z udziałem bezzwrotnej pomocy zagranicznej
";"Liczba projektów przyjętych do realizacji w ramach
EFG
";3;9;80;80;0
"17.4.6";;"Ministerstwo Spraw
Wewnętrznych i Administracji
";42;"X
";"X
";"x
";"x
";"4 988
";"4 988
";0
"17.4.6";;"Ministerstwo Spraw
Zagranicznych
";45;"Sprawne i efektywne wykorzystanie środków pomocowych
";"Ocena pozytywna lub negatywna
";"pozytywna
";"pozytywna
";"1 467
";"1 467
";0
"17.4.6";;"Wojewodowie
";85;"-
";"-
";"-
";"-
";"1 881
";"1 881
";0
"18";"FUNKCJA 18. SPRAWIEDLIWOŚĆ
";;;;;;;"9  053 534
";"9  034 810
";"18 724
"
"18.1";"18.1. Sprawowanie wymiaru sprawiedliwości przez sądy powszechne i wojskowe
";"Ministerstwo Sprawiedliwości
";15;"Zagwarantowanie obywatelom konstytucyjnego prawa do sądu
";"Wskaźnik opanowania wpływu głównych kategorii spraw rozpatrywanych przez sądy I instancji
";980;990;"5  907 608
";"5  907 608
";0
"18.1";;;15;;"Odsetek spraw, w których uwzględniono skargę na naruszenie prawa strony do rozpoznania sprawy w postępowaniu sądowym bez nieuzasadnionej zwłoki
";190;179;;;
"18.1";;"Ministerstwo Obrony Narodowej
";29;"Zagwarantowanie obywatelom konstytucyjnego prawa do sądu
";"Liczba spraw załatwionych do liczby spraw wpływających (wskaźnik opanowania wpływu spraw)
";"103%
";"80,00%
";"19 091
";"19 091
";0
"18.1.1";"18.1.1. Działalność orzecznicza
";"Ministerstwo Sprawiedliwości
";15;"Wydawanie orzeczeń w rozsądnych terminach w sprawach cywilnych, karnych i gospodarczych
";"Średni czas trwania postępowania w głównych kategoriach spraw w I instancji (w miesiącach)
";41;39;"4  396 546
";"4  396 546
";0
"18.1.1";;"Ministerstwo Obrony Narodowej
";29;"Wydawanie orzeczeń bez nieuzasadnionej zwłoki w sprawach cywilnych, karnych i gospodarczych
";"Liczba zaskarŜonych orzeczeń do liczby wydanych orzeczeń co do osób (wskaźnik stabilności ogólnej)
";"7,00%
";"0,00%
";"16 110
";"16 110
";0
"18.1.2";"18.1.2. Działalność pozaorzecznicza
";"Ministerstwo Sprawiedliwości
";15;"Zapewnianie warunków i infrastruktury niezbędnych do realizacji zadań przez sądy powszechne i wojskowe
";"Poziom satysfakcji sędziów z warunków funkcjonowania sądów (ankieta)
";486;">=4,86
";"1  444 344
";"1  444 344
";0
"18.1.2";;"Ministerstwo Obrony Narodowej
";29;"Zapewnienie warunków i infrastruktury niezbędnej do realizacji zadań przez sądy powszechne i wojskowe
";"Opis stopnia osiągnięcia celu
";"-
";"-
";"2 981
";"2 981
";0
"18.1.3";"18.1.3. Wypłata odszkodowań i zadośćuczynień
orzekanych przez sądy
";"Ministerstwo Sprawiedliwości
";15;"Sprawna realizacja ustawowo określonych zobowiązań
Skarbu Państwa w ramach posiadanych zasobów
";"Łączna liczba osób, wobec których sądy orzekły wypłatę świadczeń z tytułu odszkodowań i zadośćuczynień
";3045;3618;"66 718
";"66 718
";0
"18.2";"18.2. Sprawowanie wymiaru sprawiedliwości przez sądownictwo administracyjne
";"Naczelny Sąd Administracyjny
";5;"Zagwarantowanie obywatelom konstytucyjnego prawa do sądu
";"Średni cza trwania postępowania przed sądami I
instancji (przy rocznym wpływie do 70 tys.)
";"około 6 m-cy
";"około 6 m-cy
";"359 976
";"359 976
";0
"18.2.1";"18.2.1. Działalność orzecznicza
";"Naczelny Sąd Administracyjny
";5;"Zapewnienie moŜliwości rozpoznzwania przez sądy spraw bez nieuzasadnionej zwłoki poprzez tworzenie warunków do sprawnego orzekania
";"Procentowy współczynnik, wyraŜający stosunek spraw uznających skargę na przewlekłość postępowania do ogólnej liczby spraw załatwionych
";"poniŜej 0,1 %
";"poniŜej 0,1 %
";"356 165
";"356 165
";0
"18.2.2";"18.2.2. Nadzór administracyjny nad działalnością
sądów
";"Naczelny Sąd Administracyjny
";5;".Zapewnienie prawidłowego funkcjonowania administracji sądowej
";"Procentowy współczynnik wykonania planowanej liczby wizytacji kontrolnych w sądach administracyjnych
";100;100;228;228;0
"18.2.3";"18.2.3. Tworzenie warunków
ogólnoadministarcyjnych do podnoszenia jakości orzecznictwa
";"Naczelny Sąd Administracyjny
";5;"Podnoszenie jakości orzecznictwa
";"Współczynnik zabezpieczenia obsad asystentów
sędziów w sądach I instancji w stosunku do liczby sędziów
";"nie mniej niŜ 50%
stanu korpusu sędziowskiego
";"nie mniej niŜ 50%
stanu korpusu sędziowskiego
";"3 583
";"3 583
";0
"18.3";"18.3. Sprawowanie wymiaru sprawiedliwości przez Sąd
NajwyŜszy oraz działalność KRS
";"Sąd NajwyŜszy
";4;"Zapewnienie w ramach nadzoru zgodności z prawem, jednolitości orzecznictwa oraz inne zadania wynikające z aktów prawnych. Zapewnienie warunków dla działalności orzeczniczej Sądu NajwyŜszego
";"Średni czas rozpatrywania sprawy
";"9  m-cy
";"9  m-cy
";"74 200
";"74 200
";0
"18.3";;"Krajowa Rada Sądownictwa
";52;"Zapewnienie odpowiedniego doboru kadr do pełnienia urzędu sędziowskiego na stanowiskach sędziów SN i NSA oraz na stanowiskach w sądach powszechnych, w wojewódzkich sądach administracyjnych i w sądach wojskowych
";"Liczba osób kandydujących do pełnienia urzędu sędziowskiego na stanowiskach sędziów SN i NSA oraz na stanowiskach w sądach powszechnych, w wojewódzkich sądach administracyjnych i w sądach wojskowych
";1300;1450;"11 500
";"11 500
";0
"18.3.1";"18.3.1. Działalność orzecznicza Sądu NajwyŜszego
";"Sąd NajwyŜszy
";4;"Zapewnienie w ramach nadzoru zgodności z prawem, jednolitości orzecznictwa oraz inne zadania wynikające z aktów prawnych. Zapewnienie warunków dla działalności orzeczniczej Sądu NajwyŜszego
";"Średni czas rozpatrywania sprawy
";"9  m-cy
";"9  m-cy
";"74 049
";"74 049
";0
"18.3.2";"18.3.2. StrzeŜenie niezaleŜności sądów i niezawisłości sędziów
";"Krajowa Rada Sądownictwa
";52;"Zapewnienie odpowiedniego doboru kadr do pełnienia urzędu sędziowskiego na stanowiskach sędziów SN i NSA oraz na stanowiskach w sądach powszechnych, w wojewódzkich sądach administracyjnych i w sądach wojskowych
";"Liczba osób kandydujących do pełnienia urzędu sędziowskiego na stanowiskach sędziów SN i NSA oraz na stanowiskach w sądach powszechnych, w wojewódzkich sądach administracyjnych i w sądach wojskowych
";1300;1450;"11 500
";"11 500
";0
"18.3.3";"18.3.3. Działania na rzecz usprawnienia procesu sprawowania wymiaru sprawiedliwości
";"Sąd NajwyŜszy
";4;"Zapewnienie jednolitości orzecznictwa
";"Ilość wydawnictw ciągłych
";2;2;151;151;0
"18.4";"18.4. Wykonywanie kary pozbawienia wolności i tymczasowego aresztowania
";"Ministerstwo Sprawiedliwości
";37;"Zapewnienie bezpieczeństwa społecznego poprzez izolację osób tymczasowo aresztowanych i skazanych na karę pozbawienia wolności
";"% zaludnienia w zakładach karnych i aresztach
śledczych
";993;99;"2  462 683
";"2  446 735
";"15 948
"
"18.4";;;37;"Sprawna resocjalizacja wobec osób skazanych na karę
pozbawienia wolności
";"Liczba skazanych objętych systemem programowego oddziaływania
";36412;36500;;;
"18.4.1";"18.4.1. Wykonywanie obowiązków statutowych jednostek organizacyjnych SłuŜby Więziennej
";"Ministerstwo Sprawiedliwości
";37;"Zapewnienie wykonywania kary pozbawienia wolności w warunkach zapewniających osobom skazanym i tymczasowo aresztowanym przestrzeganie ich praw
";"Odsetek osadzonych, którzy mają zapewnioną kodeksową normę 3m kw.  powierzchni celi mieszkalnej
";986;100;"2  439 242
";"2  423 294
";"15 948
"
"18.4.2";"18.4.2. System Dozoru Elektronicznego
";"Ministerstwo Sprawiedliwości
";37;"Wprowadzenie alternatywnych w stosunku do izolacji więziennej form odbywania kary pozbawienia wolności
";"Odsetek osób objętych dozorem elektronicznym w stosunku do skazanych
";1;1;"23 441
";"23 441
";0
"18.4.3";"18.4.3. Resocjalizacja osób pozbawionych wolności poprzez pracę
";"Ministerstwo Sprawiedliwości
";37;"Zapewnienie warunków do resocjalizacji i readaptacji społecznej osób skazanych na karę pozbawienia wolności
";"Odsetek osadzonych korzystających z moŜliwości zatrudnienia
";157;110;0;0;0
"18.4.4";"18.4.4. Udzielanie pomocy osobom pozbawionym wolności, zwalnianym z zakładów karnych i aresztów śledczych, rodzinom tych osób, pokrzywdzonym przestępstwem i ich rodzinom
";"Ministerstwo Sprawiedliwości
";37;"Udzielanie pomocy postpenitencjarnej
";"Liczba osób, które skorzystały z pomocy w ramach
Funduszu Pomocy Postpenitencjarnej
";27000;27000;0;0;0
"18.5";"18.5. Przeciwdziałanie demoralizacji i przestępczości wśród nieletnich i stworzenie warunków do powrotu nieletnich do normalnego Ŝycia
";"Ministerstwo Sprawiedliwości
";37;"Skuteczna resocjalizacja wychowanków zakładów poprawczych i schronisk dla nieletnich
";"Powrotność wychowanków zakładów poprawczych na drogę przestępstwa
";"58,4%
";"57,5%
";"218 476
";"215 700
";"2 776
"
"18.5.1";"18.5.1. Działalność zakładów poprawczych i schronisk dla nieletnich
";"Ministerstwo Sprawiedliwości
";37;"Zapewnienie pełnej wykonalności orzeczonych środków poprawczych
";"Stosunek liczby nieletnich wobec, których orzeczono środek poprawczy (z zawieszeniem i bez zawieszenia) do liczby miejsc w zakładach poprawczych w okresie sprawozdawczym
";77;76;"218 476
";"215 700
";"2 776
"
"19";"FUNKCJA 19. INFRASTRUKTURA TRANSPORTOWA
";;;;;;;"11 603 032
";"7  434 316
";"4  168 716
"
"19.1";"19.1. Wspieranie transportu drogowego
";"Ministerstwo Infrastruktury
";39;"Osiągnięcie poprawy bezpieczeństwa przy wykonywaniu transportu drogowego, przestrzegania przepisów w transporcie drogowym oraz bezpiecznych zachowań uczestników ruchu drogowego
";"Liczba kontroli dotycząca przestrzegania przepisów w transporcie drogowym, przeprowadzonych w danym roku (w szt.)
";"17,5 tys.
";"20 tys.
";"4  331 861
";"3  069 019
";"1  262 842
"
"19.1";;;39;"Poprawa dostępności komunikacyjnej Polski i połączenie z głównymi korytarzami transportowymi
";"Długość wybudowanych dróg ekspresowych i autostrad, długość przebudowanych dróg krajowych (km)
";505;985;;;
"19.1";;"Wojewodowie
";85;"Tworzenie warunków do rozwoju infrastruktury drogowej
";"Liczba km dróg w województwie
";"-
";0;"661 515
";"661 515
";0
"19.1";;;85;;"Wskaźnik ilości pojazdów z naruszeniami
";;;;;
"19.1.1";"19.1.1. Budowa i przebudowa sieci dróg krajowych
";"Ministerstwo Infrastruktury
";39;"Wzrost dostępności komunikacyjnej Polski poprzez rozwój sieci dróg krajowych
";"Długość wybudowanych dróg ekspresowych i autostrad, długość przebudowanych dróg krajowych (km)
";505;985;"1  791 717
";"750 298
";"1  041 419
"
"19.1.1";;"Wojewodowie
";85;"-
";"-
";"-
";"-
";"2 787
";"2 787
";0
"19.1.2";"19.1.2. Utrzymanie i zarządzanie siecią dróg krajowych
";"Ministerstwo Infrastruktury
";39;"Utrzymanie standardów funcjonalnych i technicznych istniejącej sieci dróg krajowych
";"Procentowy udział dróg krajowych w stanie dobrym w stosunku do ogółu dróg krajowych wg Systemu Oceny Stanu Nawierzchni
";"53,6%
";"56%
";"2  165 263
";"2  162 059
";"3 204
"
"19.1.3";"19.1.3. Bezpieczeństwo uŜytkowników sieci drogowej
";"Ministerstwo Infrastruktury
";39;"Osiągnięcie poprawy bezpieczeństwa przy wykonywaniu transportu drogowego, przestrzegania przepisów w transporcie drogowym oraz bezpiecznych zachowań uczestników ruchu drogowego
";"Liczba kontroli dotycząca przestrzegania przepisów w transporcie drogowym, przeprowadzona w danym roku (w szt.)
";"17,5 tys.
";"20 tys.
";"361 747
";"143 528
";"218 219
"
"19.1.3";;"Wojewodowie
";85;"-
";"-
";"-
";"-
";"62 071
";"62 071
";0
"19.1.4";"19.1.4. Kształtowanie warunków dla rozwoju transportu drogowego
";"Ministerstwo Infrastruktury
";39;"Zapewnienie sprawnej realizacji zadań oraz instrumentów prawnych w obszarze rozwoju infrastruktury drogowej
";"Stosunek liczby uchybień do liczby przeprowadzonych kontroli ogółem (w %)
";23;23;"13 134
";"13 134
";0
"19.1.4";;"Wojewodowie
";85;"-
";"-
";"-
";"-
";"596 657
";"596 657
";0
"19.2";"19.2. Transport kolejowy
";"Ministerstwo Infrastruktury
";39;"Zwiększenie dostępności i poprawa jakości transportu kolejowego
";"Praca przewozowa w milionach pasaŜerokilometrów
";"620 000 tys. zł
";12587;"3  437 115
";"2  775 664
";"661 451
"
"19.2";;;39;;"Długość przebudowanych linii kolejowych (w km)
";3984;737;;;
"19.2";;"Urząd Transportu Kolejowego
";71;"Regulacja i licencjonowanie transportu kolejowego, nadzór nad bezpieczeństwem ruchu kolejowego, certyfikacja wyrobów dla kolejnictwa i ochrona praw pasaŜerów
";"Średnia z wartości dla:kontroli, zatwierdzonych dokumentów i wydanych licencji i świadectw w stosunku do planu bądź nadesłanych wniosków
";"70%
";"85%
";"12 416
";"12 416
";0
"19.2";;"Wojewodowie
";85;"Tworzenie warunków do rozwoju infrastruktury kolejowej
";"Liczba km wyremontowanych i wybudowanych linii kolejowych w województwie
";"-
";0;724;724;0
"19.2.1";"19.2.1. Inwestycje w infrastrukturę kolejową
";"Ministerstwo Infrastruktury
";39;"Poprawa bezpieczeństwa i jakości usług w transporcie kolejowym
";"Długość przebudowanych linii kolejowych (w km)
";3984;737;"1  175 584
";"907 503
";"268 081
"
"19.2.1";;"Wojewodowie
";85;"-
";"-
";"-
";"-
";92;92;0
"19.2.2";"19.2.2. Utrzymanie infrastruktury kolejowej
";"Ministerstwo Infrastruktury
";39;"Zapewnienie prawidłowego utrzymania infrastruktury kolejowej
";"Planowany udział budŜetu państwa w zmniejszeniu kosztów udostępniania infrastruktury kolejowej (w %)
";"24,55%
";"32,18%
";"1  175 000
";"1  175 000
";0
"19.2.3";"19.2.3. Finansowanie usług publicznych i inwestycji taborowych w pasaŜerskim transporcie kolejowym
";"Ministerstwo Infrastruktury
";39;"Zwiększenie dostępności transportu kolejowego
";"Praca przewozowa w milionach pasaŜerokilometrów
";"620 000 tys. zł
";"12 587
";"1  081 670
";"688 300
";"393 370
"
"19.2.3";;"Wojewodowie
";85;"-
";"-
";"-
";"-
";632;632;0
"19.2.4";"19.2.4. Kształtowanie warunków dla rozwoju transportu kolejowego
";"Ministerstwo Infrastruktury
";39;"Zapewnienie sprawnej realizacji zadań oraz instrumentów prawnych w obszarze rozwoju infrastruktury kolejowej
";".
";".
";".
";"4 861
";"4 861
";0
"19.2.5";"19.2.5. Nadzór nad bezpieczeństwem transportu kolejowego
";"Urząd Transportu Kolejowego
";71;"Nadzór techniczny nad eksploatacją linii kolejowych, pojazdów kolejowych oraz bezpieczeństwem ruchu kolejowego
";"Średnia z wartości procentowych dla:kontroli, zatwierdzonych dokumentów i wydanych licencji w stosunku do planu bądź nadesłanych wniosków
";"70%
";"85%
";"5 671
";"5 671
";0
"19.2.6";"19.2.6. Spójność i interoperacyjność systemu kolejowego
";"Urząd Transportu Kolejowego
";71;"Zapewnienie wymaganego poziomu technicznego i poziomu bezpieczeństwa dla wyrobów i podsystemów oraz realizacja współpracy międzynarodowej w tym zakresie.
";"Średnia z wartości procentowych dla: rozpatrzonych wniosków o wydanie certyfikatów, autoryzacji, świadectw bezpieczeństwa, świadectw dopuszczenia do eksploatacji typu i innych zezwoleń technicznych w stosunku do planu bądź nadeslanych wniosków
";"70%
";"90%
";"1 800
";"1 800
";0
"19.2.7";"19.2.7. Nadzór rynku wyrobów przeznaczonych dla kolejnictwa
";"Urząd Transportu Kolejowego
";71;"Zapewnienie spójności technicznej i zachowania wymaganych standardów technicznych wyrobów przeznaczonych do eksploatacji na kolei.
";"Średnia z wartości procentowych dla rozpatrzonych spraw i przeprowadzonych kontroli w stosunku do zaistniałych
";"50%
";"85%
";"2 338
";"2 338
";0
"19.2.8";"19.2.8. Wspieranie i regulacja rynku transportu kolejowego
";"Urząd Transportu Kolejowego
";71;"Zapewnienie właściwej organizacji rynku i konkurencyjności, organizacji przewozów towarowych oraz właściwości poziomu usług pasaŜerskich w transporcie kolejowym.
";"Poziom realizacji prowadzonych spraw i ocen funkcjonowania rynku w stosunku do zaistniałych
";"50%
";"85%
";"2 607
";"2 607
";0
"19.3";"19.3. Wspieranie transportu morskiego i Ŝeglugi śródlądowej
";"Ministerstwo Infrastruktury
";21;"Zwiększanie dostępności  i poprawa jakości transportu morskiego i Ŝeglugi śródlądowej
";"Długość zabezpieczonych odcinków brzegu morskiego (w km)
";101;134;"1  001 812
";"832 875
";"168 937
"
"19.3";;;21;;"Ilość kontroli i inspekcji statków na polskich obszarach morskich (w szt.)
";1785;2625;;;
"19.3";;"Ministerstwo Infrastruktury
";39;"Poprawa bezpieczeństwa na śródlądowych drogach wodnych
";"Ilość kontroli i inspekcji statków na wodach
śródlądowych w szt.
";"2 932
";"3 231
";"13 391
";"13 391
";0
"19.3";;"Ministerstwo Środowiska
";41;"Zmniejszenie ilości zanieczyszczeń wprowadzonych do wód i powietrza oraz zmniejszenie obciąŜenia dla środowiska poprzez wykorzystanie w transporcie jednostek floty Ŝeglugi śródlądowej
";"Liczba zawartych umów z Ministrem właściwym ds. transportu w zakresie dofinansowania Ŝeglugi śródlądowej (szt.)
";1;1;0;0;0
"19.3";;"Wojewodowie
";85;"Tworzenie warunków do rozwoju infrastruktury transportu morskiego i Ŝeglugi śródlądowej
";"Liczba decyzji uchylonych w stosunku do liczby decyzji wydanych
";"-
";0;419;419;0
"19.3.1";"19.3.1. Bezpieczeństwo Ŝeglugi morskiej, ochrona brzegów i środowiska morskiego
";"Ministerstwo Infrastruktury
";21;"Utrzymywanie bezpiecznego dostępu do morskich portów od strony morza
";"Długość zabezpieczonych odcinków brzegu morskiego (w km)
";101;134;"258 976
";"181 911
";"77 065
"
"19.3.2";"19.3.2. Wspieranie infrastruktury morskiej i Ŝeglugi
śródlądowej
";"Ministerstwo Infrastruktury
";21;"Zapewnianie dobrego stanu infrastruktury Ŝeglugi transportowej
";"Długość wybudowanej, przebudowanej i wyremontowanej infrastruktury portowej (w mb)
";26314;45447;"564 012
";"473 655
";"90 357
"
"19.3.2";;"Ministerstwo Środowiska
";41;"Zmniejszenie ilości zanieczyszczeń wprowadzonych do wód i powietrza oraz zmniejszenie obciąŜenia dla środowiska poprzez wykorzystanie w transporcie jednostek floty Ŝeglugi śródlądowej
";"Liczba zawartych umów z Ministrem właściwym ds. transportu w zakresie dofinansowania Ŝeglugi śródlądowej (szt.)
";1;1;0;0;0
"19.3.2";;"Wojewodowie
";85;"-
";"-
";"-
";"-
";419;419;0
"19.3.3";"19.3.3. Ratowanie Ŝycia ludzkiego oraz zwalczanie zagroŜeń na morzu
";"Ministerstwo Infrastruktury
";21;"Zapewnienie infrastruktury i kadry w celu ratowania Ŝycia i likwidacji zagroŜeń na polskich obszarach morskich
";"Wskaźnik stanu gotowości jednostek ratowniczych w
%
";93;97;"34 514
";"34 514
";0
"19.3.4";"19.3.4. Administracja morska i Ŝeglugi śródlądowej
";"Ministerstwo Infrastruktury
";21;"Poprawa bezpieczeństwa na wodach morskich i
śródlądowych
";"Ilośc kontroli i inspekcji statków na polskich obszarach morskich w szt.
";1785;2625;"133 966
";"133 966
";0
"19.3.4";;"Ministerstwo Infrastruktury
";39;"Poprawa bezpieczeństwa na śródlądowych drogach wodnych
";"Ilość kontroli i inspekcji statków na wodach
śródlądowych w szt.
";"2 932
";"3 231
";"3 123
";"3 123
";0
"19.3.5";"19.3.5. Kształtowanie warunków dla rozwoju transportu morskiego i Ŝeglugi śródlądowej
";"Ministerstwo Infrastruktury
";21;"Zapewnienie prawidłowego rozwoju transportu morskiego i Ŝeglugi śródlądowej
";"Ilość aktów prawnych wspomagających gospodarkę morską (ustaw, rozporzadzeń i zarządzeń dyrektora urzędu morskiego                (w szt.)
";30;36;"10 344
";"8 829
";"1 515
"
"19.3.5";;"Ministerstwo Infrastruktury
";39;"Zapewnienie prawidłowego rozwoju Ŝeglugi śródlądowej
";"Ilość aktów prawnych wspomagających Ŝeglugę śródlądową (ustaw, rozporządzeń) w szt.
";43;47;"10 268
";"10 268
";0
"19.4";"19.4. Wspieranie transportu lotniczego i infrastruktury lotniczej
";"Ministerstwo Infrastruktury
";39;"Dostosowanie infrastruktury lotniskowej i nawigacyjnej do wzrastającego popytu na usługi lotnicze oraz wzrost dostępności transportu lotniczego
";"Procentowy udział transportu lotniczego w transporcie ogółem (pasaŜerski i towarowy)
";"14,7/0,04
";"14,7/0,04
";"515 687
";"67 886
";"447 801
"
"19.4";;;39;;"Dynamika przewozów pasaŜerskich w Polsce rok do roku
";"6,97%
";"9,67%
";;;
"19.4";;"Wojewodowie
";85;"Tworzenie warunków do rozwoju infrastruktury lotniczej
";"Liczba decyzji uchylonych w stosunku do liczby decyzji wydanych
";"-
";0;407;407;0
"19.4.1";"19.4.1. Wspieranie infrastruktury lotniskowej i nawigacyjnej
";"Ministerstwo Infrastruktury
";39;"Dostosowanie infrastruktury lotniskowej do wzrastającego popytu na usługi transportu lotniczego
";"Przyrost przepustowości w tys. pasaŜerów
";"1 541
";"1 541
";"459 211
";"11 410
";"447 801
"
"19.4.1";;"Wojewodowie
";85;"-
";"-
";"-
";"-
";407;407;0
"19.4.2";"19.4.2. Regulowanie i nadzorowanie systemu lotnictwa cywilnego w Polsce
";"Ministerstwo Infrastruktury
";39;"Skuteczny nadzór nad bezpieczeństwem w lotnictwie cywilnym
";"Wskaźnik wypadkowości w polskim lotnictwie cywilnym - średnia z ostatnich 5 lat: a) ogólna liczba wypadków śmiertelnych na 100 000 godzin nalotu dla statków powietrznych uŜytych w CAT; b) liczba wypadków śmiertelnych na liczbę statków poza CAT
";"a) 3,0 b) 4,7
";"a) 2,9 b) 4,7
";"53 777
";"53 777
";0
"19.4.3";"19.4.3. Kształtowanie warunków dla rozwoju transportu lotniczego
";"Ministerstwo Infrastruktury
";39;"Zapewnienie sprawnej realizacji zadań oraz instrumentów prawnych i warunków dla zrównowaŜonego rozwoju lotnictwa cywilnego w Polsce
";"Dynamika przewozów pasaŜerskich w Polsce rok do roku
";"6,97%
";"9,67%
";"2 699
";"2 699
";0
"19.5";"19.5. Wspieranie zrównowaŜonego rozwoju transportu
";"Ministerstwo Infrastruktury
";39;"Zwiększenie udziału przyjaznych środowisku gałęzi transportu w ogólnym przewozie osób i ładunków
";"Wybudowane/przebudowane nabrzeŜa portowe (w km)
";234;268;"1  627 685
";0;"1  627 685
"
